team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
NYK-1977,40,42,3,2,17,5,82,12,6,13,1,,,,6,13,1,18,18,6,22,8,21,14,15,21,12,7,7
NYK-1976,38,44,4,2,9,5,82,7,11,8,11,,,,11,8,11,16,16,4,16,8,14,17,17,17,2,6,14
NYK-1975,40,42,3,4,12,4,82,14,13,11,11,,,,13,11,11,13,14,8,18,13,16,18,15,14,1,12,14
NYK-1974,49,33,2,3,15,5,82,3,12,14,6,,,,12,14,6,16,17,5,17,7,15,13,17,16,1,6,15
NYK-1973,57,25,2,2,16,6,82,10,9,15,4,,,,9,15,4,15,16,4,,,16,5,,,,5,11
NYK-1972,48,34,2,2,12,5,82,2,8,11,6,,,,8,11,6,16,16,6,,,16,8,,,,7,13
NYK-1971,52,30,1,3,10,3,82,8,8,6,7,,,,8,6,7,17,17,13,,,15,15,,,,5,14
NYK-1970,60,22,1,7,7,2,82,14,6,10,3,,,,6,10,3,14,14,11,,,13,4,,,,6,9
NYK-1969,54,28,3,8,5,5,82,12,6,12,4,,,,6,12,4,13,13,3,,,14,1,,,,12,11
NYK-1968,43,39,3,10,3,3,82,1,7,9,4,,,,7,9,4,8,6,10,,,11,6,,,,11,8
NYK-1967,36,45,4,9,3,4,81,9,7,9,2,,,,7,9,2,6,3,8,,,10,7,,,,3,6
NYK-1966,30,50,4,8,2,5,80,1,5,8,1,,,,5,8,1,3,3,6,,,9,3,,,,9,5
NYK-1965,31,49,4,8,8,7,80,1,6,5,4,,,,6,5,4,6,7,7,,,9,9,,,,9,8
NYK-1964,22,58,4,6,4,3,80,,3,4,2,,,,3,4,2,6,3,8,,,7,8,,,,6,3
NYK-1963,21,59,4,2,8,7,80,,7,5,8,,,,7,5,8,8,8,7,,,9,9,,,,6,7
NYK-1962,29,51,4,5,5,8,80,,6,4,6,,,,6,4,6,9,9,7,,,9,8,,,,5,8
NYK-1961,21,58,4,5,3,3,79,,7,7,6,,,,7,7,6,5,6,2,,,8,6,,,,7,8
NYK-1960,27,48,4,5,2,3,75,,3,4,1,,,,3,4,1,5,7,2,,,7,6,,,,5,4
NYK-1959,40,32,2,6,1,3,72,,4,6,3,,,,4,6,3,1,1,1,,,4,3,,,,6,3
NYK-1958,35,37,4,8,1,3,72,,2,4,1,,,,2,4,1,1,1,4,,,3,5,,,,6,1
NYK-1957,36,36,4,2,1,3,72,,4,6,2,,,,4,6,2,2,2,6,,,2,5,,,,4,3
NYK-1956,35,37,4,3,1,4,72,,5,7,3,,,,5,7,3,1,1,5,,,2,8,,,,5,3
NYK-1955,38,34,2,3,3,4,72,,4,5,4,,,,4,5,4,5,5,6,,,1,3,,,,1,4
