team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
PHI-1983,65,17,1,8,23,20,82,3,11,15,3,21,22,14,9,14,4,3,3,10,2,2,1,19,5,4,19,7,7
PHI-1982,58,24,2,2,19,21,82,4,8,21,2,14,18,4,8,20,2,4,4,10,23,11,20,3,2,1,15,12,5
PHI-1981,62,20,2,3,15,15,82,3,5,18,1,19,21,13,5,15,1,6,9,8,21,1,5,1,5,3,21,13,4
PHI-1980,59,23,2,7,9,6,82,8,16,19,6,17,18,18,12,16,6,7,7,9,15,3,4,6,7,1,21,3,10
PHI-1979,47,35,2,10,13,14,82,5,12,19,8,,,,12,19,8,9,7,13,18,2,5,6,9,2,20,12,11
PHI-1978,55,27,1,10,7,7,82,6,6,16,4,,,,6,16,4,1,1,11,7,5,6,6,11,3,18,17,1
PHI-1977,50,32,1,16,13,12,82,6,13,18,7,,,,13,18,7,2,2,18,5,4,3,13,9,1,21,11,5
PHI-1976,46,36,2,7,4,12,82,4,9,3,16,,,,9,3,16,3,1,14,1,11,4,18,4,7,15,18,4
PHI-1975,34,48,4,4,4,16,82,6,14,9,16,,,,14,9,16,12,9,13,6,10,6,17,18,16,8,10,15
PHI-1974,25,57,4,5,14,16,82,13,16,10,17,,,,16,10,17,9,7,8,10,12,12,15,8,17,5,11,16
PHI-1973,9,73,4,6,10,14,82,10,15,2,17,,,,15,2,17,8,6,10,,,6,17,,,,14,13
PHI-1972,30,52,3,3,16,11,82,6,6,4,13,,,,6,4,13,3,3,16,,,6,11,,,,17,5
PHI-1971,47,35,2,1,15,12,82,8,10,8,8,,,,10,8,8,2,3,12,,,8,9,,,,16,6
PHI-1970,42,40,4,2,13,14,82,13,3,3,4,,,,3,3,4,4,2,8,,,4,6,,,,12,1
PHI-1969,55,27,2,3,14,14,82,5,2,4,5,,,,2,4,5,2,2,7,,,10,9,,,,11,1
PHI-1968,62,20,1,4,1,1,82,7,1,5,2,,,,1,5,2,10,1,12,,,2,1,,,,1,1
PHI-1967,68,13,1,4,2,1,81,7,1,8,1,,,,1,8,1,1,1,10,,,3,1,,,,1,1
PHI-1966,55,25,1,5,1,1,80,3,1,5,2,,,,1,5,2,7,2,9,,,2,2,,,,6,4
PHI-1965,40,40,3,2,6,1,80,7,5,4,6,,,,5,4,6,3,2,3,,,6,3,,,,7,4
PHI-1964,34,46,3,3,9,9,80,,6,2,8,,,,6,2,8,2,4,2,,,6,6,,,,8,4
SYR-1963,48,32,2,3,9,6,80,,3,3,4,,,,3,3,4,1,1,1,,,3,6,,,,9,1
SYR-1962,41,39,3,3,6,5,80,,4,3,7,,,,4,3,7,3,7,1,,,4,7,,,,9,4
SYR-1961,38,41,3,4,2,8,79,,3,4,3,,,,3,4,3,2,4,1,,,6,7,,,,8,1
SYR-1960,45,30,3,4,4,7,75,,4,3,4,,,,4,3,4,2,6,1,,,5,5,,,,4,2
SYR-1959,35,37,3,5,5,7,72,,2,2,2,,,,2,2,2,4,4,2,,,6,7,,,,8,2
SYR-1958,41,31,2,5,8,4,72,,3,3,4,,,,3,3,4,5,5,1,,,7,7,,,,4,4
SYR-1957,38,34,2,7,2,3,72,,6,3,8,,,,6,3,8,3,6,1,,,5,7,,,,3,5
SYR-1956,35,37,3,5,6,8,72,,7,3,7,,,,7,3,7,5,6,4,,,7,6,,,,1,5
SYR-1955,43,29,1,7,5,9,72,,6,3,7,,,,6,3,7,7,7,2,,,4,2,,,,2,6
SYR-1954,42,30,2,7,9,8,72,,3,3,7,,,,3,3,7,1,1,5,,,6,2,,,,6,2
SYR-1953,47,24,2,8,5,9,71,,7,7,6,,,,7,7,6,1,1,1,,,7,6,,,,8,2
SYR-1952,40,26,1,6,4,8,66,,7,7,7,,,,7,7,7,1,1,4,,,6,8,,,,10,2
SYR-1951,32,34,4,,,,66,,10,10,7,,,,10,10,7,1,1,6,,,7,3,,,,10,5
SYR-1950,51,13,1,,,,64,,9,12,5,,,,9,12,5,3,2,13,,,,1,,,,13,6
PHX-2019,2,8,5,21,3,7,10,15,26,28,21,19,19,23,26,27,17,23,26,13,28,19,24,18,26,29,29,23,27
PHX-2018,21,61,5,29,7,25,82,27,24,7,28,23,20,30,15,9,24,7,6,27,8,15,12,29,27,21,28,28,21
PHX-2017,24,58,5,26,23,14,82,10,6,2,19,29,28,27,1,1,24,1,2,15,4,18,6,29,6,13,27,30,9
PHX-2016,23,59,4,19,12,6,82,29,23,11,28,11,12,18,21,19,26,13,13,20,5,15,7,24,17,28,30,30,22
PHX-2015,39,43,3,22,28,18,82,8,7,6,15,10,10,21,15,18,10,21,21,11,13,14,17,27,6,12,25,23,11
PHX-2014,48,34,3,15,15,12,82,25,10,12,8,6,4,8,21,25,7,9,9,16,14,16,13,29,7,17,26,23,7
PHX-2013,25,57,5,12,4,8,82,16,13,3,23,26,23,28,4,4,22,27,28,20,12,23,18,13,15,13,29,22,21
PHX-2012,33,33,3,4,5,3,66,30,5,9,6,13,15,17,11,15,5,19,21,14,21,16,19,6,27,5,9,9,8
PHX-2011,40,42,2,3,1,8,82,1,2,7,7,3,3,4,13,24,6,19,20,18,25,17,23,3,25,22,19,13,4
PHX-2010,54,28,2,4,3,7,82,26,1,13,1,3,6,1,12,24,3,5,9,11,15,7,6,4,29,12,20,18,1
PHX-2009,46,36,2,2,8,1,82,24,1,11,1,14,19,5,1,12,1,5,5,26,16,10,12,3,18,10,29,15,1
PHX-2008,55,27,2,2,20,15,82,18,2,9,1,4,5,1,5,23,1,13,21,4,30,4,20,1,22,2,15,8,3
PHX-2007,61,21,1,8,26,27,82,7,1,2,1,1,2,1,5,26,1,26,30,1,30,3,19,1,26,14,9,3,1
PHX-2006,54,28,1,7,29,30,82,1,1,1,1,1,1,1,5,19,2,30,30,1,30,3,10,1,22,12,3,3,1
PHX-2005,62,20,1,28,11,9,82,19,1,2,2,1,1,1,14,24,2,19,19,22,19,1,1,3,22,9,7,1,1
PHX-2004,29,53,6,27,8,6,82,26,8,8,9,16,16,14,7,10,11,22,20,20,22,22,26,24,4,19,19,25,11
PHX-2003,44,38,4,24,10,14,82,20,8,6,13,17,17,18,7,8,12,21,19,23,6,19,13,17,11,17,14,18,13
PHX-2002,36,46,6,19,16,14,82,8,6,3,13,21,19,26,3,5,13,28,29,7,8,20,10,11,9,17,19,19,17
PHX-2001,51,31,3,8,14,6,82,18,12,9,20,21,19,28,10,7,15,15,19,15,16,11,14,6,2,15,16,16,17
PHX-2000,53,29,3,10,1,3,82,14,8,15,10,8,10,10,12,17,11,23,24,12,14,11,10,2,4,13,24,20,12
PHX-1999,27,23,3,8,2,5,50,19,5,8,8,9,9,2,11,11,12,16,21,5,19,20,21,1,6,26,3,6,3
PHX-1998,56,26,3,11,17,23,82,1,3,9,7,6,7,9,6,15,4,24,26,11,21,5,11,1,6,11,11,8,6
PHX-1997,40,42,4,11,18,26,82,7,3,5,6,11,10,9,5,11,6,8,10,5,25,11,19,3,14,26,3,7,3
PHX-1996,41,41,4,10,23,19,82,1,6,8,9,27,26,27,1,2,10,1,1,2,13,4,7,6,21,25,6,6,4
PHX-1995,59,23,1,4,23,11,82,14,2,4,5,2,3,11,7,16,5,6,8,7,21,9,10,3,10,26,1,9,2
PHX-1994,56,26,2,4,23,4,82,25,2,7,4,4,3,16,6,16,3,11,10,19,7,8,5,1,10,7,12,3,1
PHX-1993,62,20,1,6,24,10,82,25,3,12,2,1,1,3,15,22,1,1,2,16,13,6,6,10,9,11,19,4,1
PHX-1992,53,29,3,17,20,16,82,16,4,9,5,10,16,1,5,11,6,4,4,8,21,3,9,5,17,5,9,15,3
PHX-1991,55,27,3,12,24,17,82,25,5,12,3,19,20,14,4,7,4,2,2,11,14,3,8,5,14,4,11,10,4
PHX-1990,54,28,3,12,21,14,82,5,5,13,5,16,14,14,5,12,5,2,4,4,21,2,5,9,18,5,14,6,2
PHX-1989,55,27,2,19,19,10,82,21,2,6,3,15,15,4,1,7,5,3,3,5,19,1,5,4,19,16,4,10,1
PHX-1988,28,54,4,6,16,14,82,19,6,8,9,15,15,6,5,7,9,21,22,14,17,12,17,5,14,20,15,18,10
PHX-1987,36,46,5,19,12,20,82,5,7,16,4,21,21,19,4,10,4,14,15,14,21,16,20,4,13,15,18,14,9
PHX-1986,32,50,3,16,6,19,82,8,13,23,4,19,18,19,12,19,5,7,6,21,23,9,18,6,6,16,23,22,12
PHX-1985,36,46,3,12,11,23,82,10,14,17,11,9,6,10,15,19,9,17,17,10,21,9,18,3,8,18,19,12,18
PHX-1984,41,41,4,6,3,20,82,16,6,14,2,4,2,9,8,15,2,19,19,10,20,17,20,8,12,14,11,14,8
PHX-1983,53,29,2,9,5,22,82,18,13,16,5,12,14,4,13,16,5,13,17,8,21,8,13,3,11,8,12,8,16
PHX-1982,46,36,3,11,6,15,82,6,14,18,12,8,12,2,15,15,13,16,22,6,19,5,9,6,5,12,18,6,17
PHX-1981,57,25,1,15,8,15,82,17,6,8,9,11,12,14,7,10,8,10,8,15,8,6,4,6,2,13,22,8,7
PHX-1980,55,27,3,10,16,15,82,20,12,17,5,9,6,14,9,18,3,5,5,7,21,9,21,3,1,17,17,2,7
PHX-1979,50,32,2,17,19,18,82,6,3,11,2,,,,3,11,2,12,14,6,21,18,22,2,1,18,18,5,2
PHX-1978,49,33,2,15,14,12,82,15,5,3,9,,,,5,3,9,11,9,12,18,17,17,1,1,16,20,6,5
PHX-1977,34,48,5,7,13,8,82,15,18,19,10,,,,18,19,10,7,8,5,21,21,22,4,13,18,20,12,15
PHX-1976,42,40,3,8,10,3,82,2,12,17,4,,,,12,17,4,6,6,7,13,15,18,4,3,11,17,8,8
PHX-1975,32,50,4,12,4,4,82,6,12,7,14,,,,12,7,14,10,8,17,3,11,5,12,13,13,15,16,12
PHX-1974,30,52,4,12,2,7,82,6,9,9,8,,,,9,9,8,3,4,4,15,8,11,8,14,12,6,17,6
PHX-1973,38,44,3,11,2,11,82,7,11,6,11,,,,11,6,11,1,2,3,,,13,14,,,,15,5
PHX-1972,49,33,3,10,2,8,82,1,4,7,7,,,,4,7,7,1,1,1,,,7,9,,,,13,2
PHX-1971,48,34,3,11,2,5,82,5,12,9,13,,,,12,9,13,1,1,4,,,7,11,,,,14,9
PHX-1970,39,43,4,12,4,8,82,7,9,13,5,,,,9,13,5,1,1,9,,,10,7,,,,11,3
PHX-1969,16,66,7,14,10,7,82,5,11,6,10,,,,11,6,10,6,7,11,,,11,8,,,,7,8
POR-2019,8,3,2,19,10,14,11,3,4,5,9,7,9,12,7,7,10,3,8,1,2,1,1,20,22,20,23,22,3
POR-2018,49,33,1,22,19,18,82,18,15,8,20,16,19,11,17,11,23,15,18,3,9,5,3,30,26,7,8,13,16
POR-2017,41,41,3,27,6,20,82,1,9,13,14,8,10,6,20,16,16,11,11,14,15,14,14,23,25,10,15,26,8
POR-2016,44,38,2,26,7,19,82,19,10,8,16,5,6,4,22,21,15,15,14,19,4,8,5,21,25,18,17,26,6
POR-2015,51,31,1,12,3,15,82,13,8,5,17,6,3,8,21,22,11,27,28,1,16,1,2,12,27,18,9,2,9
POR-2014,54,28,2,18,8,14,82,10,5,3,15,4,3,10,18,17,15,7,13,1,3,4,1,9,30,14,5,6,4
POR-2013,33,49,4,26,2,17,82,7,17,11,16,6,4,20,25,24,12,23,24,6,23,18,24,18,28,26,16,7,15
POR-2012,28,38,4,7,11,22,66,10,18,13,17,9,8,14,23,22,15,11,18,2,18,22,25,17,11,18,11,11,16
POR-2011,48,34,3,13,15,26,82,18,25,19,24,13,12,21,24,21,23,18,28,3,4,30,27,16,5,21,4,5,24
POR-2010,50,32,3,15,12,24,82,10,27,26,15,18,19,13,23,23,17,9,12,3,14,28,26,21,25,24,2,19,21
POR-2009,54,28,2,29,1,25,82,11,15,23,8,9,12,4,19,22,10,20,16,17,1,27,12,19,25,13,8,12,14
POR-2008,41,41,3,30,3,18,82,1,27,23,20,15,18,7,23,17,24,24,26,13,18,23,25,18,30,21,6,9,27
POR-2007,32,50,3,28,11,9,82,6,27,23,23,24,24,24,22,17,21,18,21,8,14,29,28,30,25,17,14,24,29
POR-2006,21,61,5,28,23,28,82,29,25,25,23,23,23,17,22,15,26,28,27,30,18,30,30,28,26,10,21,10,30
POR-2005,27,55,4,13,30,30,82,27,20,22,12,19,20,10,17,17,14,29,28,25,18,20,21,18,19,1,27,4,27
POR-2004,41,41,3,9,26,28,82,1,12,19,5,20,22,13,8,13,8,28,28,23,10,26,19,13,18,8,14,1,21
POR-2003,50,32,3,4,17,20,82,10,10,22,5,19,16,24,8,18,2,20,17,20,13,25,22,8,3,24,19,2,15
POR-2002,49,33,3,6,26,28,82,8,10,13,9,10,9,15,15,21,9,15,18,11,6,18,9,5,6,22,12,5,11
POR-2001,50,32,4,3,8,24,82,21,9,24,2,16,18,16,7,21,2,22,23,9,18,17,19,5,9,16,18,9,14
POR-2000,59,23,2,4,8,20,82,19,13,25,1,14,14,12,16,25,1,17,18,11,20,10,14,9,15,16,14,11,16
POR-1999,35,15,1,18,15,3,50,2,11,12,13,11,13,7,13,13,14,10,10,9,14,3,3,10,18,5,15,14,5
POR-1998,46,36,4,22,2,1,82,10,20,21,15,15,11,27,18,20,10,12,8,19,11,2,4,17,28,7,26,16,19
POR-1997,49,33,3,22,5,1,82,7,9,15,9,13,12,16,13,18,7,9,6,26,12,3,4,21,20,9,24,24,11
POR-1996,44,38,3,8,6,6,82,3,15,7,19,17,13,21,16,15,17,18,6,29,6,2,3,21,22,14,23,14,16
POR-1995,44,38,4,3,9,18,82,27,8,2,20,12,13,16,9,2,22,18,14,26,2,5,2,16,13,7,3,19,10
POR-1994,47,35,4,6,15,17,82,13,4,1,21,12,16,5,3,1,24,2,3,11,1,7,3,9,11,16,6,15,3
POR-1993,51,31,3,6,8,4,82,4,11,1,23,12,10,15,16,8,21,4,1,18,7,8,4,20,7,14,5,13,4
POR-1992,57,25,1,7,5,2,82,3,8,6,14,4,3,7,16,17,9,5,3,13,4,5,2,10,9,16,18,24,4
POR-1991,63,19,1,10,9,3,82,3,4,3,8,1,3,1,10,15,9,6,4,18,11,4,5,1,12,14,13,19,3
POR-1990,59,23,2,12,9,3,82,2,3,3,18,13,13,9,4,5,18,4,2,23,2,4,1,11,11,19,18,24,4
POR-1989,39,43,5,11,6,2,82,8,5,3,15,6,8,8,4,5,14,14,8,21,2,16,2,7,5,20,16,16,6
POR-1988,53,29,2,10,8,2,82,19,3,3,5,16,14,13,3,4,4,2,2,11,4,4,3,6,9,21,10,20,2
POR-1987,49,33,2,6,8,3,82,10,3,13,3,13,15,13,3,12,3,1,1,8,15,11,15,3,5,20,21,16,1
POR-1986,40,42,2,11,6,7,82,3,8,9,6,12,12,13,8,8,6,1,2,10,11,19,20,9,2,18,18,19,3
POR-1985,42,40,2,20,6,4,82,1,6,7,6,17,15,17,5,5,6,4,2,17,9,20,15,9,2,5,13,6,4
POR-1984,48,34,2,15,14,8,82,13,8,15,4,20,19,20,7,8,4,4,4,15,4,22,14,17,3,13,12,12,6
POR-1983,46,36,4,15,9,9,82,15,18,20,12,15,15,12,18,18,12,6,6,11,15,18,19,18,11,19,4,3,15
POR-1982,42,40,5,20,15,5,82,15,7,13,5,18,17,19,6,11,4,11,6,20,14,15,17,13,10,18,7,4,9
POR-1981,45,37,3,15,9,6,82,3,3,3,7,17,13,21,3,2,6,20,19,21,7,12,10,5,8,9,11,11,6
POR-1980,38,44,4,11,9,11,82,16,19,18,14,19,17,20,16,15,16,20,18,17,8,14,9,21,18,8,13,11,21
POR-1979,45,37,4,16,10,18,82,6,15,19,13,,,,15,19,13,10,10,9,7,12,12,18,10,6,15,19,14
POR-1978,58,24,1,18,19,22,82,21,11,19,5,,,,11,19,5,12,14,8,13,7,9,11,12,14,8,14,12
POR-1977,49,33,2,21,17,22,82,15,7,12,5,,,,7,12,5,4,4,7,8,6,7,9,6,4,16,21,3
POR-1976,37,45,5,16,4,6,82,16,13,16,5,,,,13,16,5,7,5,16,12,4,7,3,7,5,18,15,11
POR-1975,38,44,3,10,7,14,82,1,9,16,1,,,,9,16,1,6,2,16,14,7,10,1,4,5,18,13,7
POR-1974,27,55,5,16,6,11,82,13,6,11,4,,,,6,11,4,12,8,15,7,14,10,6,1,9,14,13,10
POR-1973,21,61,5,17,14,15,82,10,12,11,8,,,,12,11,8,12,7,16,,,15,8,,,,13,10
POR-1972,18,64,5,16,6,10,82,2,13,9,14,,,,13,9,14,11,10,13,,,13,4,,,,6,15
POR-1971,29,53,5,14,10,16,82,8,5,2,15,,,,5,2,15,8,9,3,,,13,2,,,,10,4
SAC-2019,6,4,2,28,19,25,10,15,6,12,2,16,25,2,5,5,5,24,11,30,21,13,15,10,10,23,12,14,11
SAC-2018,27,55,4,14,16,26,82,18,21,15,22,26,28,3,12,3,29,30,30,28,19,29,28,25,11,25,9,19,30
SAC-2017,32,50,3,7,25,10,82,4,24,28,13,18,23,5,21,18,20,14,13,16,28,25,28,16,17,26,21,18,24
SAC-2016,33,49,3,15,28,14,82,19,4,6,8,19,21,10,6,8,10,9,6,26,13,14,11,4,5,20,28,15,3
SAC-2015,29,53,4,19,15,5,82,13,22,28,13,28,28,20,5,6,20,1,1,10,14,9,9,26,26,28,27,16,14
SAC-2014,28,54,4,23,23,2,82,15,21,16,18,28,26,27,6,7,17,4,4,15,5,11,9,30,22,27,23,26,17
SAC-2013,28,54,4,19,29,5,82,12,11,4,19,11,10,12,15,13,20,9,13,11,13,29,25,25,12,28,15,25,10
SAC-2012,22,44,5,29,27,3,66,23,6,1,26,18,14,29,5,4,18,12,11,24,2,24,10,26,5,17,13,15,6
SAC-2011,24,58,5,24,3,2,82,10,9,3,23,25,21,26,3,3,24,21,15,28,2,14,4,23,12,15,28,23,15
SAC-2010,25,57,5,27,1,2,82,5,9,5,19,20,20,16,7,4,21,25,18,28,3,14,10,20,21,23,23,26,18
SAC-2009,17,65,5,16,4,21,82,4,20,12,25,10,11,14,22,17,26,4,7,6,25,25,29,27,23,25,26,29,12
SAC-2008,38,44,4,11,7,18,82,9,14,19,10,17,21,9,13,14,12,2,4,3,24,20,29,29,7,26,30,24,8
SAC-2007,33,49,5,10,25,13,82,20,19,14,21,10,9,19,24,23,19,1,1,12,27,20,30,22,3,28,10,12,8
SAC-2006,44,38,4,11,25,11,82,17,15,13,14,15,14,16,18,17,10,7,16,5,22,13,18,5,8,26,20,2,10
SAC-2005,50,32,2,8,27,4,82,11,2,3,7,9,12,4,5,8,5,18,24,6,11,13,11,1,7,26,1,3,2
SAC-2004,55,27,2,5,11,10,82,19,2,6,1,2,4,1,10,22,2,6,11,2,24,12,21,1,7,26,6,2,2
SAC-2003,59,23,1,9,8,14,82,14,1,1,3,7,9,4,2,7,3,24,24,18,25,1,3,3,2,12,12,4,3
SAC-2002,61,21,1,16,5,9,82,24,1,1,2,12,16,9,1,3,5,6,5,16,15,1,2,4,3,21,8,2,2
SAC-2001,55,27,2,17,5,6,82,1,2,3,10,7,7,13,5,9,8,8,11,5,14,2,3,10,1,14,13,2,1
SAC-2000,44,38,5,16,12,5,82,14,1,1,16,4,1,28,6,12,2,19,19,14,10,3,4,5,3,21,22,5,1
SAC-1999,27,23,4,22,8,3,50,1,1,2,12,5,1,24,2,9,3,19,13,27,6,2,2,4,6,18,28,5,1
SAC-1998,27,55,5,17,21,9,82,27,13,11,21,25,25,13,8,4,24,25,20,28,10,19,14,13,27,14,17,11,22
SAC-1997,34,48,6,14,26,18,82,7,9,11,16,24,26,2,7,4,23,18,14,20,6,15,11,14,27,19,20,25,16
SAC-1996,39,43,5,22,26,14,82,21,23,18,20,19,20,5,20,16,24,7,4,20,7,16,10,16,17,11,28,28,14
SAC-1995,39,43,5,19,26,18,82,9,19,20,12,23,21,20,16,15,14,12,9,23,12,14,14,18,17,8,26,20,19
SAC-1994,28,54,6,17,25,19,82,13,16,11,22,14,18,6,18,6,25,10,11,16,16,20,16,15,22,23,16,22,14
SAC-1993,25,57,7,19,26,23,82,16,12,6,20,13,13,14,14,10,20,5,7,11,14,23,23,13,8,24,22,25,6
SAC-1992,29,53,7,26,25,16,82,11,16,12,17,9,10,5,19,14,17,14,15,15,26,19,24,18,12,2,21,8,15
SAC-1991,25,57,7,24,17,15,82,27,27,26,24,10,13,2,27,24,25,24,23,24,21,23,25,17,23,5,8,23,27
SAC-1990,23,59,7,17,13,10,82,20,22,16,20,10,10,11,21,21,20,25,27,9,25,18,24,13,25,15,9,10,23
SAC-1989,27,55,6,22,13,12,82,14,21,11,24,2,2,2,24,17,24,22,23,13,16,10,14,22,22,17,14,7,20
SAC-1988,24,58,6,17,10,10,82,9,12,7,17,8,10,10,15,8,17,15,14,10,6,7,4,11,23,7,19,8,12
SAC-1987,29,53,5,13,4,2,82,13,11,5,13,20,19,18,6,3,14,8,16,2,6,9,4,9,23,15,12,11,10
SAC-1986,37,45,5,11,11,4,82,15,12,13,9,22,23,18,9,6,11,13,15,6,14,16,16,5,23,14,19,13,15
KCK-1985,31,51,6,14,11,8,82,17,8,13,5,12,10,14,8,8,4,2,3,7,11,17,16,2,16,21,21,18,5
KCK-1984,38,44,4,13,14,4,82,21,14,13,16,10,12,5,13,10,17,8,10,5,11,18,16,7,8,16,13,18,12
KCK-1983,45,37,3,21,20,5,82,11,3,9,4,6,7,11,4,9,3,9,5,17,10,16,11,9,8,15,21,23,4
KCK-1982,30,52,4,23,18,4,82,1,9,10,10,20,20,21,7,8,10,22,21,21,21,19,21,12,7,14,17,23,13
KCK-1981,40,42,2,13,18,2,82,5,9,15,5,7,9,2,9,16,5,19,18,23,22,8,16,4,14,17,7,15,14
KCK-1980,47,35,2,18,16,3,82,12,10,12,13,20,20,17,7,8,13,14,13,18,15,12,15,12,5,16,3,18,15
KCK-1979,48,34,1,13,13,8,82,2,6,6,6,,,,6,6,6,14,9,18,15,15,17,7,6,17,13,21,7
KCK-1978,31,51,5,11,6,3,82,6,7,7,13,,,,7,7,13,10,13,3,12,10,12,12,14,17,15,19,9
KCK-1977,40,42,4,10,9,2,82,1,9,6,13,,,,9,6,13,9,16,1,13,13,13,11,8,15,4,17,9
KCK-1976,31,51,3,8,12,16,82,13,16,12,13,,,,16,12,13,5,7,6,10,12,9,9,8,14,5,13,12
KCO-1975,44,38,2,16,8,16,82,14,17,14,13,,,,17,14,13,1,6,1,17,8,13,14,9,12,5,9,11
KCO-1974,33,49,4,9,5,14,82,16,15,17,10,,,,15,17,10,10,9,6,14,16,16,17,2,8,12,8,13
KCO-1973,36,46,4,9,14,17,82,4,10,17,3,,,,10,17,3,9,12,6,,,17,6,,,,17,8
CIN-1972,30,52,3,13,12,17,82,6,16,16,5,,,,16,16,5,8,8,7,,,17,7,,,,15,12
CIN-1971,33,49,3,13,17,17,82,2,2,4,5,,,,2,4,5,11,11,14,,,14,8,,,,12,3
CIN-1970,36,46,5,4,13,11,82,2,7,4,10,,,,7,4,10,7,6,13,,,11,10,,,,13,7
CIN-1969,41,41,5,3,1,3,82,5,9,13,2,,,,9,13,2,1,5,1,,,9,4,,,,2,4
CIN-1968,39,43,5,2,3,2,82,4,8,11,3,,,,8,11,3,6,11,1,,,10,2,,,,2,7
CIN-1967,39,42,3,6,4,2,81,7,6,7,3,,,,6,7,3,5,7,1,,,9,5,,,,2,5
CIN-1966,45,35,3,4,5,2,80,1,2,6,3,,,,2,6,3,4,5,2,,,4,6,,,,3,3
CIN-1965,48,32,2,4,7,1,80,5,2,6,1,,,,2,6,1,4,5,2,,,4,1,,,,1,1
CIN-1964,55,25,2,5,5,1,80,,2,8,1,,,,2,8,1,3,5,3,,,4,1,,,,5,1
CIN-1963,42,38,3,6,3,2,80,,4,6,1,,,,4,6,1,3,4,3,,,2,2,,,,8,2
CIN-1962,43,37,2,9,1,2,80,,3,6,1,,,,3,6,1,4,4,3,,,5,1,,,,7,2
CIN-1961,33,46,4,8,1,2,79,,4,8,1,,,,4,8,1,7,8,3,,,7,2,,,,6,6
CIN-1960,19,56,4,7,3,2,75,,5,7,5,,,,5,7,5,6,5,7,,,7,4,,,,8,7
CIN-1959,19,53,4,8,3,1,72,,5,4,6,,,,5,4,6,8,8,8,,,7,6,,,,3,8
CIN-1958,33,39,3,7,3,1,72,,4,2,5,,,,4,2,5,8,8,8,,,6,1,,,,5,8
ROC-1957,31,41,4,8,4,1,72,,8,4,7,,,,8,4,7,8,8,8,,,8,6,,,,7,8
ROC-1956,31,41,4,7,4,2,72,,3,2,7,,,,3,2,7,8,8,8,,,4,5,,,,8,7
ROC-1955,29,43,3,1,7,6,72,,3,7,2,,,,3,7,2,8,8,7,,,5,6,,,,6,7
ROC-1954,44,28,2,1,4,7,72,,6,5,6,,,,6,5,6,4,4,8,,,8,6,,,,7,4
ROC-1953,44,26,2,1,5,6,70,,5,5,4,,,,5,5,4,2,2,4,,,5,3,,,,10,3
ROC-1952,41,25,1,1,6,6,66,,6,8,1,,,,6,8,1,3,7,1,,,9,3,,,,7,4
ROC-1951,41,27,2,,,,68,,5,9,2,,,,5,9,2,5,5,3,,,9,8,,,,2,2
ROC-1950,51,17,2,,,,68,,4,13,2,,,,4,13,2,4,6,4,,,,4,,,,1,2
ROC-1949,45,15,1,,,,60,,4,11,1,,,,4,11,1,2,1,11,,,,2,,,,7,1
SAS-2019,6,3,1,1,7,4,9,26,24,26,12,29,30,6,17,14,22,20,27,2,18,26,27,21,26,26,1,1,23
SAS-2018,47,35,3,3,21,26,82,23,17,22,16,28,27,26,9,5,20,19,18,13,6,14,11,15,14,4,4,1,27
SAS-2017,61,21,1,2,12,6,82,13,14,24,6,17,25,1,13,11,15,18,24,7,16,12,11,7,11,2,10,7,14
SAS-2016,67,15,1,2,13,6,82,29,3,24,2,25,26,2,1,7,3,25,28,2,25,5,15,3,11,6,4,1,10
SAS-2015,55,27,2,2,20,22,82,1,4,11,3,12,15,6,8,16,5,17,23,4,27,8,15,5,11,8,13,8,7
SAS-2014,62,20,1,4,23,28,82,25,1,13,2,12,16,1,3,14,4,27,30,4,26,4,12,1,20,9,11,2,6
SAS-2013,58,24,1,7,17,17,82,4,2,19,2,7,7,4,6,22,3,15,21,3,29,4,21,1,6,9,17,1,4
SAS-2012,50,16,1,7,19,9,66,16,1,7,1,2,7,1,10,21,3,18,17,19,25,5,9,4,20,24,3,3,2
SAS-2011,61,21,1,6,28,19,82,20,5,16,4,4,7,1,22,26,7,11,14,14,23,9,12,8,14,18,6,3,6
SAS-2010,50,32,2,3,22,15,82,17,8,18,6,11,11,11,14,20,7,19,18,24,18,5,9,7,26,22,10,13,15
SAS-2009,54,28,1,1,21,26,82,4,12,19,7,6,10,3,21,23,9,30,30,19,30,4,18,12,30,27,1,1,23
SAS-2008,56,26,2,1,17,29,82,25,25,28,14,9,10,11,28,28,13,26,27,15,27,10,23,21,24,24,4,2,27
SAS-2007,58,24,2,1,7,27,82,22,12,27,3,6,7,3,25,27,3,24,24,17,28,4,16,11,15,10,4,1,14
SAS-2006,63,19,1,1,11,28,82,24,8,20,4,10,16,2,16,23,3,29,29,28,23,7,12,10,23,6,7,5,21
SAS-2005,59,23,1,3,21,27,82,17,19,21,10,12,13,8,20,23,8,23,16,26,15,11,12,14,17,2,8,5,18
SAS-2004,57,25,2,14,2,19,82,23,16,20,14,17,18,6,17,16,15,20,10,29,11,1,3,19,11,3,11,5,19
SAS-2003,60,22,1,7,8,24,82,14,16,27,4,11,11,11,19,27,1,10,6,26,21,6,11,22,17,1,23,5,12
